Risks,Returns
0.1543917249895886,0.034780863383937266
0.15439172372789653,0.03478086310835312
0.1543917223299244,0.03478086280995244
0.15439172078847171,0.034780862490496466
0.15439171910016053,0.03478086215395248
0.15439171726821935,0.03478086180767468
0.154391713789632,0.034780861135041016
0.15439169932464764,0.0347808581256847
0.15439168126861255,0.03478085440691525
0.15439165846098324,0.0347808497593319
0.15439162918872953,0.03478084386157916
0.15439159072049377,0.034780836204889115
0.1543915381958624,0.03478082589059228
0.15439146171755858,0.03478081110585694
0.1543913381693541,0.03478078767059627
0.15439110693918295,0.03478074480429044
0.15439176240214492,0.03478087345010383
0.15439174923292173,0.03478087113657612
0.15439170846191252,0.0347808642119801
0.15439133913170563,0.03478080546426244
0.15370876395240218,0.03467603783167819
0.14415756321053197,0.0331716178307719
0.1360818498733022,0.031828972143828356
0.12930489264237952,0.030631682222629308
0.12294391768059809,0.029427903793760982
0.11627977842030433,0.028091912943376717
0.10888009153166997,0.026518332481694933
0.1018645868807601,0.024958517560835416
0.09592535215202866,0.023567881854843896
0.09093059154132527,0.0223282583714129
0.08665479450235256,0.021196379492747223
0.08308434727025114,0.020183008021764058
0.08013339042747515,0.0192793961465152
0.07770949780314165,0.018474037204177084
0.07572885592840263,0.017756258082909076
0.07411786331778102,0.017116535253818285
0.07281280415687809,0.01654637858670594
0.07175912038396096,0.016038155494360544
0.07081711047135032,0.015532874144054232
0.06925559670450337,0.014607501043025356
0.06765581767911133,0.013575323001573453
0.06635731287754339,0.012655194479149137
0.0653075772384516,0.01183521311429645
0.06446152929419148,0.011104380365297394
0.06378146174732444,0.01045301615746324
0.06323606759844079,0.009872485713864391
0.06279947016981148,0.00935508737972747
0.06245049331093265,0.008893955589743142
0.062171895177099035,0.0084829713920802
0.06194970391301883,0.008116681271507848
0.061772641461493125,0.007790224345745139
0.06163162994632918,0.007499255482658343
0.061519386036595236,0.007239917837942832
0.06143006218921868,0.0070087171654524775
0.06135906900890686,0.006802853845218888
0.06130164668910396,0.00661594132817791
0.061219364954757965,0.006314585770026372
0.06114594504994405,0.006014857168469822
0.06108757767235039,0.0057477942635328905
0.06104117696400134,0.005509789312323236
0.06100441008913666,0.005298378553577227
0.06097518053618129,0.005109994248545165
0.06096075664825446,0.005006946764800774
0.06095304407835795,0.0049442649742263796
0.0609467643272487,0.004887262058948811
0.060941828957609356,0.004836891623717579
0.06093791527014496,0.004792057510255761
0.0609348075018882,0.004752109864882422
0.06093233936008109,0.004716511895067506
0.06093037923033669,0.00468479021894323
0.06092882224417751,0.004656519716687357
0.06092758557637163,0.0046313266733886945
0.0609266033648924,0.004608877005304212
0.060925823341497466,0.004588874785334724
0.06092520388238923,0.004571054366420385
0.06092471191942981,0.004555178246867488
0.06092432118483574,0.0045410343415418514
0.06092401115379932,0.0045284473118607765
0.06092376534981774,0.004517257285460716
0.06092357007957452,0.004507293091001801
0.06092341486224947,0.004498417089530773
0.06092329142004494,0.0044905080145274
0.06092319341530223,0.004483473570471445
0.0609231156914371,0.0044772265078363155
0.06092305399030277,0.0044716770925062104
0.06092300527090518,0.00446677669248655
0.06092296700222096,0.004462476797105721
0.060922936840496864,0.004458698420096288
0.060922913160003866,0.004455395830712949
0.06092288317438842,0.004450801035848604
0.06092286763490736,0.0044479822432191545
0.060922855307881295,0.004445474709801798
0.06092284554419814,0.004443248225406823
0.06092283783827001,0.004441279512475151
0.06092283194696144,0.004439592099812061
0.060922827841616574,0.004438266964529721
0.06092282605158206,0.004437542312334751
0.0609228194146896,0.00443516589619055
0.06092281727047915,0.004434184182141947
0.0609228169498777,0.004433902112765025
